Branch,Efficiency_Score,Status
Gateway St and Game Farm Rd Branch,0.999829,Inefficient
Brandon Mall Branch,0.999828,Inefficient
Lake Park - East Northlake Branch,0.999828,Inefficient
Merchants Square Branch,0.999828,Inefficient
Newark Branch,0.999828,Inefficient
Newport Branch,0.999828,Inefficient
Rita Ranch Frys Bkg. Ctr. Branch,0.999828,Inefficient
Glenwood Fred Meyer Branch,0.999827,Inefficient
Indian Trail Branch,0.999827,Inefficient
Park Central Branch,0.999827,Inefficient
South Eugene Branch,0.999827,Inefficient
Babcock and Huebner Branch,0.999826,Inefficient
Harlem Metro North Branch,0.999826,Inefficient
Northern & 91st Avenue Banking Center Branch,0.999826,Inefficient
Preston Banking Center Branch,0.999826,Inefficient
Risinger & Hulen Banking Center Branch,0.999826,Inefficient
Shoreway Branch,0.999826,Inefficient
Teasley and Hickory Creek Branch,0.999826,Inefficient
The Heights Branch,0.999826,Inefficient
Trumbull-Porter Branch,0.999826,Inefficient
Boise State St Financial Ctr Branch,0.999825,Inefficient
East 2nd and Ash Branch,0.999825,Inefficient
North 40th Avenue Branch,0.999825,Inefficient
South Salem Branch,0.999825,Inefficient
Vernon Branch,0.999825,Inefficient
Dunbar Banking Center Branch,0.999824,Inefficient
Eastside Branch,0.999824,Inefficient
Seattle Hill Road Branch,0.999824,Inefficient
Southview Branch,0.999824,Inefficient
Chamblee Branch,0.999823,Inefficient
Colfax and Sable Branch,0.999823,Inefficient
Des Moines-Redondo Sq Fin Ctr Branch,0.999823,Inefficient
Leander Banking Center Branch,0.999823,Inefficient
Oro Valley Marketplace Branch,0.999823,Inefficient
Waupaca Branch,0.999823,Inefficient
Westlake Mckinley Branch,0.999823,Inefficient
Beardsley and 59th Ave Frys Branch,0.999822,Inefficient
Cornelius Branch,0.999822,Inefficient
Highway 69 & Sundog Ranch Road Banking Center,0.999822,Inefficient
Mulberry Elizabethtown Branch,0.999822,Inefficient
North Auburn Branch,0.999822,Inefficient
South Hills Branch,0.999822,Inefficient
Westside Branch,0.999822,Inefficient
Cactus and Reems Branch,0.999821,Inefficient
Milton Branch,0.999821,Inefficient
Williamsburg Branch,0.999821,Inefficient
Wurzbach and NW Military Branch,0.999821,Inefficient
Calumet and Interstate 441 Banking Center Branch,0.99982,Inefficient
City Line Branch,0.99982,Inefficient
Iliff and Chambers Branch,0.99982,Inefficient
Jefferson-Fiesta Branch,0.99982,Inefficient
North Corydon Branch,0.99982,Inefficient
Northwest Boulevard Branch,0.99982,Inefficient
East Bay View Branch,0.999819,Inefficient
Old Spanish Trail Branch,0.999819,Inefficient
St. Francis Branch,0.999819,Inefficient
St. Helens Branch,0.999819,Inefficient
Wurtsboro Branch,0.999819,Inefficient
Owensboro Main Branch,0.999818,Inefficient
Port Orchard Fm Branch,0.999818,Inefficient
Rockdale Square Branch,0.999818,Inefficient
Sandy Fm Financial Center Branch,0.999818,Inefficient
South Chicago Heights - Chicago & Sauk Trail Branch,0.999818,Inefficient
Streetsboro Banking Center Branch,0.999818,Inefficient
Warner and Val Vista Frys Branch,0.999818,Inefficient
Hillside Town Center Bnk Ctr Branc H,0.999817,Inefficient
Kitsap Branch,0.999817,Inefficient
Lockbourne Road Branch,0.999817,Inefficient
Park North Branch,0.999817,Inefficient
Passaic - Main Avenue Branch,0.999817,Inefficient
University Park Branch,0.999817,Inefficient
72nd & Pacific Branch,0.999816,Inefficient
Beardsley & 99th Ave Bnkg Ctr Branch,0.999816,Inefficient
Boise Towne Square Branch,0.999816,Inefficient
Caldwell Branch,0.999816,Inefficient
Castle Hills Branch,0.999816,Inefficient
Chicago Drive Branch,0.999816,Inefficient
Indian School and 32nd St Branch,0.999816,Inefficient
Lithia Springs Village @ Westfork Br,0.999816,Inefficient
North College Hill Branch,0.999816,Inefficient
Redwood Road Branch,0.999816,Inefficient
South Everett Branch,0.999816,Inefficient
Treaschwig Branch,0.999816,Inefficient
Bandera Branch,0.999815,Inefficient
Bandera and Mainland Branch,0.999815,Inefficient
Greenacres-Military Crossings Branch,0.999815,Inefficient
Inkster Branch,0.999815,Inefficient
Medical Banking Center Branch,0.999815,Inefficient
Redmond Fm Financial Center Branch,0.999815,Inefficient
San Jose - Alum Rock Branch,0.999815,Inefficient
Westfield Banking Center Branch,0.999815,Inefficient
Clifford and Western Trade Branch,0.999814,Inefficient
Cosumnes River Branch,0.999814,Inefficient
Germann & Power Banking Ctr Branch,0.999814,Inefficient
Miller Branch,0.999814,Inefficient
Oshkosh West Branch,0.999814,Inefficient
Palm Desert Stater Bros Branch,0.999813,Inefficient
Pasco Branch,0.999813,Inefficient
Fairview Branch,0.999812,Inefficient
Hillcroft Branch,0.999812,Inefficient
Lincoln & 32nd St Bnkg Center Branch,0.999812,Inefficient
Moss Bluff Branch,0.999812,Inefficient
Nampa Branch,0.999812,Inefficient
Summit Point Branch,0.999812,Inefficient
Troup Hwy Branch,0.999812,Inefficient
Antioch Hillcrest Branch,0.999811,Inefficient
I-20 Branch,0.999811,Inefficient
Kissimmee Parkway Branch,0.999811,Inefficient
Lilburn - Beaver Ruin Village Branch,0.999811,Inefficient
Riverton Banking Center Branch,0.999811,Inefficient
Southern Blvd Branch,0.999811,Inefficient
South Mansfield Branch,0.99981,Inefficient
Todt Hill Branch,0.99981,Inefficient
Alamo Drive Branch,0.999809,Inefficient
Burlington Branch,0.999809,Inefficient
Central Midwest City Branch,0.999809,Inefficient
College Drive Albertsons Branch,0.999809,Inefficient
Fairplain Plaza Branch,0.999809,Inefficient
Galliano Branch,0.999809,Inefficient
Linden Branch,0.999809,Inefficient
Third Avenue and 106th St Branch,0.999809,Inefficient
Amelia Branch,0.999808,Inefficient
Bridgman Branch,0.999808,Inefficient
Crowley and Renfro Branch,0.999808,Inefficient
East Wenatchee Branch,0.999808,Inefficient
North Brownsville Branch,0.999808,Inefficient
North Springfield Branch,0.999808,Inefficient
Southfield Webster Bnkg Ctr Branch,0.999808,Inefficient
St George Santa Clara Sunset Branch,0.999808,Inefficient
Sycamore School and Mccart Banking Center Branch,0.999808,Inefficient
Will Clayton Branch,0.999808,Inefficient
Dayton North Main Branch,0.999807,Inefficient
Hamilton Town Center Branch,0.999807,Inefficient
Heb Georgetown Banking Ctr. Branch,0.999807,Inefficient
Macedon Branch,0.999807,Inefficient
Rainbow At Alta Branch,0.999807,Inefficient
Arlington & Madison Bnkg Ctr Branch,0.999806,Inefficient
Brown Deer Branch,0.999806,Inefficient
Cocoa Commons Branch,0.999806,Inefficient
Heb Bee Cave Fsc Branch,0.999806,Inefficient
Marengo Branch,0.999806,Inefficient
Peachtree Square Branch,0.999806,Inefficient
Prineville Branch,0.999806,Inefficient
Southeast Mlk Jr Branch,0.999806,Inefficient
Spanish Fork Branch,0.999806,Inefficient
Golden Rod Branch,0.999805,Inefficient
Hillsborough and Sheldon Branch,0.999805,Inefficient
Larose Branch,0.999805,Inefficient
Montwood and Loop 375 Branch,0.999805,Inefficient
Air Depot and 15th Branch,0.999804,Inefficient
Arcadian Shopping Center Branch,0.999804,Inefficient
Bayou Blue Branch,0.999804,Inefficient
East Avon Banking Center Branch,0.999804,Inefficient
Mt. Vernon Ave Branch,0.999804,Inefficient
Shelby Branch,0.999804,Inefficient
University Of North Texas Branch,0.999804,Inefficient
Broadway & Alameda Albertson Branch,0.999803,Inefficient
Columbiana Branch,0.999803,Inefficient
Riverstone Plaza Branch,0.999803,Inefficient
Strivers Gardens Banking Center Branch,0.999803,Inefficient
Andover Branch,0.999802,Inefficient
Clearwater - Downtown Branch,0.999802,Inefficient
Great Southern Banking Center Branch,0.999802,Inefficient
Levelland Branch,0.999802,Inefficient
Washington Thornton Branch,0.999802,Inefficient
Battle Creek Branch,0.999801,Inefficient
Lake Worth - Hypoluxo Village Branch,0.999801,Inefficient
Tuckahoe Main St Branch,0.999801,Inefficient
Baldwin North Banking Center Branch,0.9998,Inefficient
Enumclaw Financial Center Branch,0.9998,Inefficient
Hauppauge East Branch,0.9998,Inefficient
Hurricane Shoals Branch,0.9998,Inefficient
Northpoint Branch,0.9998,Inefficient
O'neal Lane Branch,0.9998,Inefficient
Chester Boulevard Branch,0.999799,Inefficient
Sanford Branch,0.999799,Inefficient
Forest and Greenville Branch,0.999798,Inefficient
North Deland Branch,0.999798,Inefficient
Roselle Branch,0.999798,Inefficient
San Pablo Branch,0.999798,Inefficient
Tumwater Financial Center Branch,0.999798,Inefficient
Brown & Ellsworth Banking Center Branch,0.999797,Inefficient
Caledonia Banking Center Branch,0.999797,Inefficient
Co Op City Branch,0.999797,Inefficient
Emerson Pointe Banking Ctr. Branch,0.999797,Inefficient
Galewood Plaza Branch,0.999797,Inefficient
Genesee Branch,0.999797,Inefficient
Newark Main Branch,0.999797,Inefficient
Oneida Branch,0.999797,Inefficient
Parmer Mcneil Branch,0.999797,Inefficient
State Highway & 249 & Antoine Banking Center,0.999797,Inefficient
Stony Creek and Whittaker Branch,0.999797,Inefficient
West University Lafayette Branch,0.999797,Inefficient
1 30 and Broadway Branch,0.999796,Inefficient
Beacon Branch,0.999796,Inefficient
Buford and 985 Branch,0.999796,Inefficient
Perry Branch,0.999796,Inefficient
Walnut Branch,0.999796,Inefficient
Winter Haven Branch,0.999796,Inefficient
Briarcliff Village Branch,0.999795,Inefficient
Chula Vista Naples Branch,0.999795,Inefficient
Michigan & Jackson Bnkg Ctr Branch,0.999795,Inefficient
Seymour Branch,0.999795,Inefficient
South Tucson Branch,0.999795,Inefficient
Tri-County Branch,0.999795,Inefficient
Winter Park Palms,0.999795,Inefficient
Indiana and Sr 19 Branch,0.999794,Inefficient
Jones Creek Albertsons Branch,0.999794,Inefficient
Molalla Branch,0.999794,Inefficient
Scottsburg Branch,0.999794,Inefficient
Snellville - Killian Hill Branch,0.999794,Inefficient
Southside Branch,0.999794,Inefficient
Wickliffe-Youngstown Branch,0.999794,Inefficient
Bellaire Branch,0.999793,Inefficient
Browncroft Branch,0.999793,Inefficient
North Burien Financial Center Branch,0.999793,Inefficient
Golden Town Center Branch,0.999792,Inefficient
Mid Valley Branch,0.999792,Inefficient
Ray and Ranch Circle Frys Branch,0.999792,Inefficient
Southwest 5th and Forest Branch,0.999792,Inefficient
Chester Heights Branch,0.999791,Inefficient
Mcdonough Place Branch,0.999791,Inefficient
Minerva Branch,0.999791,Inefficient
South Holland Branch,0.999791,Inefficient
East Harlem Branch,0.99979,Inefficient
Prospect Branch,0.99979,Inefficient
West 207th Branch,0.99979,Inefficient
Crestwood Station Branch,0.999789,Inefficient
Kouts Branch,0.999789,Inefficient
Niles - Four Flaggs Center Branch,0.999789,Inefficient
Santiam Hwy Branch,0.999789,Inefficient
Xenia Branch,0.999789,Inefficient
Celina Branch,0.999788,Inefficient
Center Moriches Old Neck Rd Branch,0.999788,Inefficient
East Dayton Branch,0.999788,Inefficient
Loop 281 and Gilmer Branch,0.999788,Inefficient
Slaiughter Brodie Banking Ctr Branch,0.999788,Inefficient
Taft & 14th Banking Center Branch,0.999788,Inefficient
Taft Branch,0.999788,Inefficient
Fondren Road and Bellport Branch,0.999787,Inefficient
Renton Center Branch,0.999787,Inefficient
Bluffton Branch,0.999786,Inefficient
Gold Beach Branch,0.999786,Inefficient
Preston Hollow Branch,0.999786,Inefficient
Stapley and Mckellips Branch,0.999786,Inefficient
Stevens Park Banking Center Branch,0.999786,Inefficient
Van Dyke-Eight Mile Branch,0.999786,Inefficient
Essen Lanealbertsons Branch,0.999785,Inefficient
Radcliff Branch,0.999785,Inefficient
Uhrichsville Branch,0.999785,Inefficient
Florham Park Branch,0.999784,Inefficient
Four Points Bkg. Ctr. Branch,0.999784,Inefficient
Lewisville - Lakepointe Branch,0.999784,Inefficient
Beltline and Westmoreland Branch,0.999783,Inefficient
Bayside Lakes Branch,0.999782,Inefficient
Berry Plaza Banking Center Branch,0.999782,Inefficient
